Sku	Photo URL	Tag URL
AP-01	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-01_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-01_TAG.JPEG
AP-02	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-02_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-02_TAG.JPEG
AP-03	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-03_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-03_TAG.JPEG
AP-04	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-04_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-04_TAG.JPEG
AP-05	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-05_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-05_TAG.JPEG
AP-06	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-06_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-06_TAG.JPEG
AP-07	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-07_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-07_TAG.JPEG
AP-08	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-08_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-08_TAG.JPEG
AP-09	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-09_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-09_TAG.JPEG
AP-10	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-10_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-10_TAG.JPEG
AP-11	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-11_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-11_TAG.JPEG
AP-12	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-12_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-12_TAG.JPEG
AP-13	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-13_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-13_TAG.JPEG
AP-14	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-14_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-14_TAG.JPEG
AP-15	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-15_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-15_TAG.JPEG
AP-16	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-16_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-16_TAG.JPEG
AP-17	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-17_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-17_TAG.JPEG
AP-18	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-18_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-18_TAG.JPEG
AP-19	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-19_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-19_TAG.JPEG
AP-20	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-20_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-20_TAG.JPEG
AP-21	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-21_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-21_TAG.JPEG
AP-22	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-22_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-22_TAG.JPEG
AP-23	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-23_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-23_TAG.JPEG
AP-24	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-24_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-24_TAG.JPEG
AP-25	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-25_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-25_TAG.JPEG
AP-26	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-26_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-26_TAG.JPEG
AP-27	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-27_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-27_TAG.JPEG
AP-28	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-28_PHOTO.JPEG	https://channeladvisorimages2.s3.us-east-2.amazonaws.com/AP-28_TAG.JPEG
